Customer Review Final,Emotion Encoded
jujur nyesel sih beli bubble wrap kayak cuman kasih iprit doang beli pcs pikir packaging hem akn balur bubble wrap eh cuman kayak nutupin belah kiri belah kanan dus hem kecewa sih pesan kayak gak niat gitu thanks,1
bagus hasil depan udah gak bagus lagiberembun lagigak recomended banget,1
barang kaga kirim yg belanja teliti barang yg kaga kirim item total belanja ajar gak teliti yg lapak gak solusi rugi k an gpp,1
gak sesuai gambar benyek kemas plastik polos gk print mnya sesuai gambar,1
lampu nya kecewa tdak nyala,1
dipake eh lampu mati sedih dah,1
ekspedisi kirim banget pas ngajuin komplain kirim hadeh,1
warna sesuai pesan pesan silver hitam kasih silver,1
gak nyala,1
nyesel beli kagak terang,1
lampu gak nyala,1
lampu mati nyala revan,1
lampu mati sial,1
lampu nggak idup,1
warna ga sesuai,1
ga sesuai cahaya putih cahaya yg hijau,1
mesen yg hnya yg bos kosong ngk isi,1
sen putih dateng kuning admin udah pastiin anter putih nipu tetep dateng kuning min mending jujur bilang stok kosong barang ganti beda jenis,1
aplikasi ban hitam kotor,1
baranh kirim tipu,1
kilap cepat hilang,1
kecewa belanja toko respon jual cuek tanggap barang tumpah basah minggu tau kirim nya kirim nya,1
kaca buram cair bau porstex hati hati beli,1
barang tipis tdk sesuai bilang tebal kapok belanja,1
pakai krn habis stock yg skr kualitas buruk krn cair beda yg tdk cair pdhal suka produk disayankan kualitas turun krn campur cair,1
beli gaada efek efek pas basah doang item kalo udah kering ajeee sarung tangan bekas,1
buruk parah pengirimannyamasak kasih sarung tangan latex bekas,1
mohon maaf kasih rating gin barang yg kirim sesuai follow up ganti barang moga depan tindak lanjut terima kasih,1
pesan sesuai mmg sperti adminnya yg krg jeli trhadap jenis parfum yg pes,1
wangi nya sma skali gak enakkaya barang udh kadaluarsa pake mobil gak nympe harismua yg masuk mobil ane komplainhadehmalah udh beli biji,1
barang sesuai deskripsi,1
pesan tdk kirim tlg direspon,1
paket kirim hati aja yg beli murah seller respon banget komplain mending beli seller,1
produk oke sesuai foto terang,2
barang bagus kirim cepat,2
terima kasih kakpaketnya cepat kondisi bagus semogq sukses ya kak,2
barang sesuai pesan paking standar bagus kirim cepat tks gan,2
produk sesuai deskripsi kirim cepat,2
respon cepat kirim cepat produk bagus thanks,2
barang sesuai packing aman kirim emas cepat blm coba moga cocok,2
barang ok sesuai pesan kirim ok,2
kirim cepat packing aman suka sm produknyatrimakasih,2
kualitas bagus kirim cepat hargnya murah,2
barang sesuai minta n datang sesuai estimasi,2
barang bagus layan bagus,2
kak okey barang warna bagus kualitas bagus bau anti slip kayak nya thanks ya,2
bagus sesuai deskripsi,2
respon kirim cepat prduk ok harga relatif murah thx ya,2
cepet bgt packing mat aman tdk bocor bubble wrap tebellll blm coba moga manfaat,2
kirim cepat super duper rapih terima kasih,2
packing buble warp tebal emas cepat kirim kurir standar produk segel exp msh terima kasih,2
terima kasih produk terima kirim cepat packaging,2
produk ok manfaat utk mrnjaga rawat bersih anabul langgan beli terimakasih seller,2
respon seller kirim cepat paket aman produk coba blm bener tau efektif ngga botol aman gak bocor sprayernya bagus thanks a lot seller,2
barang cepat dlm,2
puas belanja udah tiga kali beli kirim cepat respon cepat,2
kirim cepat barang amantidak bocor seller fast respons,2
desinfektan yg baguss ulas video respon jual cepat kirim cepat thank you seller,2
mantapwangiudah beli kali aman hewan,2
barang ikan sehat selamatmakasih,2
darat dgn selamat ikan bagus,2
kondisi ikan cupang sehat dipacking rapi apik,2
recommended barang sesuai seller gercep emas mantap banget,2
proses cepat kirim cepat packaging aman barang jamin tdk bocor,2
harga murah deh packing aman banget lapis bubble wrap tebal dus tebal,2
kirim cepet banget packing aman banget pokok mantab,2
muantaap packing muas tks,2
barang kualitas harga miring warna bagus gak kayak barang murah puassss,2
seller komunikatif produk bahan bagus warna jg keren kirim instalasi mudah packaging aman box kasih buble wrap thanks jg bonus,2
packing amanada kardus bubble barang selamatdikasih bonus mkn pulamakasiihhhhhh,2
barang oke packaging aman mantap,2
beli keranjang kargo kucing ga ga puas beli harga baik seller fast response packing nya juara aman banget pake kardus badabest dapet bonus,2
produk bagus sesuai harap,2
kualitas underpad buruk tdk sesuai harga,4
paking rapih jebol,4
udah sobek makan kucing nya alot,4
semprot fungsi kecewa,4
gak mempan,4
pengaruh,4
warna sesuai gambar daya serap nya buruk cendrung serap air parah kecewa kualitas buruk pas order wood pellet,4
nga sesuai yg harap pingin yg jd cenderung kasar jd nya,4
layan kecewa gojek instant tp besok kirim chat balas bangett no rekomen kl yg buru,4
keras banget ukur nya gede nya dikit banget,4
kirim lamaaa tdk pemberitahuan chat tdk respon,4
pas pesan lupa cantum warna lgs chat jual nya request warna seblm kirim chat baca ga respon kirim ikan nya warna putih polos kecewa belanja udah mahal kirim yg jarang org maukecewa,4
ikan mati kecewa ah,4
sesuai pesan pesan warna merah putih yg kirim warna,4
cupang sesuai gambar,4
barang sesuai iklan pesan catat jual pesan nomor ikan cupang sekian dlm catat,4
kura kura mulus,4
kecewa respon toko lamapengiriman sameday order jam kirim besok chat pagi malam kapok,4
kecewa kirim masalah ekspedisi kirim scat jual fast response,4
kecewa bagt barang yg kirim sesuai uda langgan ko kecewain gituuda komplin ko ga respon ya,4
kecewa makan yg kirim,4
kecewa gw belanja gak amanah seller nya gw sen yg kirim gak sih harga nya gak jujur yg jual nya moga berkah aja dah lu dagang hasil gak jujur,4
respone lambat packing kirim kecewa kota yg menit sampe saller fix transaksi menit sampe nunggu sampe jam toko payah chat customer responenya lambat kapok ga belanja,4
stelah pakai rutin kutu anjing spot spray kutu doang nyesal produk,4
maaf kasih bintang nilai gantung efektifitas produk yg beli gada efek udh smpe hbis pakai,4
fungsi produk nya kutu adatidak mati kecewa tdk sesuai speak nya,4
krn obatnyatdk mempan basmi kutu nya sdh x pakai malahmakin,4
nambah gatel aja kasi liat kucing,4
barang tdk packinghanya pake kantong plastik kaleng nya pd rusak semuapengiriman lamasaya kecewa tdk belanja toko iniparah service nya,4
barang tdk sesuai dg pesananklu tdk barang nya jng dgabti sm yg lainnyasangat kecewa,4
kaleng penyok,4
kecewa,4
kecewa banget beli packingan nya rusak bolong bolong kayak makan tikus ga banget pecah jalan retur ga ga layak banget,4
kecewa beli pcs kemas bolong sperti d gigit tikus,4
yg bentuk ikan eee diksh yg bentuk donat kucing sy gak yg bentuk donat kecewa sy,4
yg bentuk donat dateng ikan alhasil kucing doyan mubazir deh pakai,4
pesan yg donat sms yg kirim yg ikan kecewa kucing gak doyansaya udah bilang gak apaapa pakai kantong polos kecewaaaaaa,4
kecewa barang kostumer bocor alas rusak ekpedisinya ckck,4
beli pack kg yg kirim pack kg kecewa,4
kali belanja d tolong billy kecewa kirim wilayah jakarta kota tolong pilih kurir cepat,4
seller slow respon kirim kali yg sy kasih bintang krn barang respon sellernya,0
orng nnya responnya jutek bgt aja kali cm ga ngajak debat sombong bgt jual kyak bgini,0
samain packing kura ikan,0
chat ga baca pdhl online salah kirim tp ga tanggung kaka ak doain bangkrut ga toko kali kek gitu ga berkah rejekinya,0
kecewa real yg alami silah baca chat dgn seller beli barang kirim sesuai pesan retur cerdik seller kirim pesan yg pesan hariii lhoo guysuang barang hahasilahkan seller sanggup bawa akhirat moga tipu,0
gak pengaruh kutu msih hidup sdh tes langsung tipu nih moga karma dah lu,0
barang bilang ready ga tau ga dikirimmaen refund aja,0
yg bener gan klo ngasih barang expirenya masak bulan gak kuat yg bulu gitu,0
yg beli wiskas junior bau bangke kucing gk pd doyan,0
barang pesan kg kirim kg brengsek,0
proses beli kirim lamaaaaaaaaaaa admin gak sopan slow respon ancur parah nihh toko,0
pesan tanggal udah tanggal barang nongol gila parah banget toko laen pesan obat tgl tgl dah nyampe ckckckck bangeeeettt super slow respon duuhhhh kucing jalan yg udah sakit model drop gara manusia model lot gin kerja,0
seller sombong shok ngirim lambatttt pake same day bangun siang kali,0
udang red bee yg pes tdk adasdh komplain terus tokped dana nya jual,0
sengaja selesai pesan nulis ulas sesuai alam belanja dintoko tamyakan via chat foto asli ikan ikan sesuai gambar etalase burayak fakta non sense yg kirim burayak,0
size banget,0
ngirim barang gak sesuai pesan ngeselinnn,0
jelek,0
bangke sampe rumah mati beli,0
jual gk respon bgt parah,0
jelek krn kirim lengkap,0
ga sesuai gambar d kirain kayu tau kardus,0
rusak pcs gak pakai packing,0
gak pengaruh kutu msih hidup sdh tes langsung tipu nih moga karma dah lu,0
ngirim barang gak sesuai pesan ngeselinnn,0
jelek,0
beli obat diikrim dus kosong maksdya nh tipu konsumen masdya,0
sesuai pesan barang yg kirim jual paking teliti,0
pesan jenis ikan yg kirim bulet hadeuuuh,0
minta bolt kasi oricat sih,0
chat kirim instan jawabanya sanggup tp bayar ngga kirim kalo overload knp nyanggupin kacau nih bikin kapok,0
dapet bolong layan gak ramah udh tau salah gak maaf sen yg smpe kirim bsk dgn alesan ngbodohin customer pdhl beli dsni udh kali tp kali beli ngaret klo salah ya maaf boong paket jg kirim beranta masukin sombong mentang udh bnyk yg beli inget customer,0
packaging rapih kemas produk bolt sobek unboxing isi makan beranta,0
dua goib,0
pesan meo tuna in jelly kucing suka kirim tuna baca gak ya trus diapain doank buang pesan sesuai doank barang kosong bilang main ganti sembarang,0
sy pesan bungkus mknan kucing merk bolt ukur kilogram tp kirim aneh label kirim tulis kg pieces lihat foto nama terima alamat spt foto ukur bungkus isi pcs kilo komplain tp respon yg dana kembali sesuai barang yg kirim silah nilai,0
ga jujur orang dagang,0
isi nya gram kg kesel,0
innalillahi gan klo jual yg jujur agan jual kg knp yg dateng yg gr gw apal bangt kantong gr kg dah beli gr ya tagih akherat yaa gan makan kucing aja paki bohong jual nya nauzubillah gw belanja toko ngga berkah loo gan rizki nya dg nipu kaya gin biar terkam kucing loo nnti akherat nya,0
isi gr skripsi kg udah lanjur beli bungkus tolong suka nipu alus model gin kagak berkah tau parah nih sellernya ngasih duit haram keluarga,0
thank you utk saran anabul ku bantu banget produk repurchase lg nih,3
the best bgt deh anabul ngga train aja langsung tau,3
mantapppp fast delivery langgan trs,3
uda beli nihh,3
layan cpt packing rapi pokokny toko the best deh,3
joooosssss gandooossspengiriman rapih cepat,3
obat cocok doggy yg jamur sdh beli kali,3
mantap proses kirim cepat poko puas dah gitu aja,3
produk sesuai deskripsi recommended,3
barang bagus sesuai deskripsi kirim cepatrecommended seller,3
barang bagus banget response nya cepet komunikatif bantu makasih ya kak moga sukses yah,3
udah beli udah abis jd skrg beli makasih ka,3
yg x pesan alhamdulillah brg sesuai pesan n wkt terimakasih recommended seller,3
kali pesan wood pallet respon seller gercep lsg sampe dirmh awesome next pesan lg terimakasih kak recommended seller,3
so far kualitas bentuk pellet bagus smua toko yg beli packing oke kirim cepat recommended pokok,3
beli moga sehat kucing,3
reoderrrrr,3
alas kandang nya oke bangedtebal bahan baguspengemasan kirim jg cepat,3
obat manjur anjing ku udah pulih sakit kulit thanks gan recommended seller,3
beli puas barang produk all in one suka produk recommended anabul,3
terbaikkkkkkkkkkk,3
nd purchase amaze sm mrk packing tebellllll n rapihhhh bngt bubble wrap nyaaaa,3
woooowww kereenn langsung pakai anabul bulu langsung bersih bagus packingnya bagus aman terima kasih,3
mantap banget ikan cupang sehat lincah langsung sesuai air aquarium ekor sirip half moon bgt,3
ikan bagus sehat mantaaaaap,3
packing oke banget ikan mantebbb langgan nih,3
bagusss bgt ikannyaa,3
produk top markotop bangeet deh promo ikan sehat cantik cantik delivery cepat seller recommended banget,3
wih mantap sellernya sen siang jelang sore langsung sat set sat set malemnya udah sampe makasih seller,3
kirim expressburungnya lincah bangettop markotop,3
barang bagus bgt kokoh sisir jg ga tajem tombol klik praktis,3
barang bagus banget build qualitynya kokoh kucing suka ngebersihin bulu gampang,3
barang bagus mewah banget udah coba jg bulu yg ngegumpal tarik jg bagus pokok,3
bagus banget sisir mudah awet,3
bagus banget kualitas mantap,3
baguuuus sisir halus banget udah coba pake anak bulu,3
mantabs sih build quality nya bagus banget satisfying banget pas ambil bulu kucing sisir nya,3
bagus kualitas sisir tombol mudah pencet bulu gampang lepas kucing suka banget sisir sampe merem melek,3
barang bagus banget sesuai harga gagang kokoh banget liat kaya bagus gitu,3
suka bngt bner kepake ga sia beli,3
barang sih bilang ukur x tp sunat bahan banget foto underpad yg merk lbh lbh tebel bkn harga cuman rb an tp kesel aja liat jual kasih spek tp banget ukur sebenernya kapok deh ga beli merek terima kasih,1
pesan kirim cuman udah bayar ongkir kg rugi rugi kapok beli,1
gak recomended produk sih ok spt tp packing pk amplop kondangan putih bungkus plastik ya jebol obat stok najong banget dah chat ga dibales kapok gw belanja,1
barang pes barang sesuai,1
pesan kg yg bentuk ikan kirim yg donat kucing mencret,1
barang yg pecah bekas tambal,1
disinfectant klo nyalain api nyala yg jd ragu,1
beli jerigen kemas liter jerigen yg isi,1
barang yg gk sampe ud complain tetep aja rugi belanja,1
barang yg pesan sesuai pesan udah komunikasi via chat tukar tolong direspon tokopedia care ga balesan kali ngalamin kyk belanja toped,1
mending cari jual klo beli pet cargo seler dr seller berat markup kg asli nya berat kg dr ekspedisi dg alas dimensi padhal barang nya wajar bentuk blm install ringan beli seller gada dimensi kg,1
bangke sampe rumah mati beli,1
kecewa harga mahal keong nya tolong tipu gambar,1
payah kirim terima byk mati sengaja pilih official harga mahal tau gitu pilih aj toko aja hasil,1
respon lambat kirim lambat toop kapok bgt,1
burung sakit kaki nya ga normal bang kasih,1
tenyata gak bagus utk kucing jantan salur urine nya hati,1
sesuai pesan barang yg kirim jual paking teliti,1
gak pengaruh kutu msih hidup sdh tes langsung tipu nih moga karma dah lu,1
stelah pakai rutin kutu anjing spot spray kutu doang nyesal produk,1
ga sesuai pesan adult kirim kitten kaleng pd penyokdiretur mahal ongkirnya,1
sy pake samedaymasa dtgnya besok smtra sy byr jam respon lamarugi tau gt sy ga ush pilih yg samedaymksd biar cepetmalah jd lamaga rekomen bgt,1
murah udah ngga fresh,1
kotor cang ga terima returhati,1
bangkai yg adasdh pd mati semuanyaaa,1
cocok kucing pakai masuk minggu kembang,1
kali belanja timbang rumah wkwkk ntar kayak gin timbang bagus setel ubah,1
artemia dtg udah byk yg mati,1
beli beda aja pelet maxi nya beda ya dr warna gelap aroma beda,1
paking rapih jebol,1
udah sobek makan kucing nya alot,1
pesan barang terima pesan kemas robek bolong,1
yg pesan pcs bolt salmon kirim bolt salmon nya tuna harga beda rupiah sih tp beda rupiah wajib barang sesuai dgn yg beli konsumen aja biar konsumen ga rugi janji kirim salmon pesan kali tp tetep kirim tuna klo barang kosong konfirmasi kirim aja ok makasih deh ka moga konsumen ga alami,1
sy pake samedaymasa dtgnya besok smtra sy byr jam respon lamarugi tau gt sy ga ush pilih yg samedaymksd biar cepetmalah jd lamaga rekomen bgt,1
kucing muntah muntah,1
order tgl feb terima tgl mar terang estimasi terima tgl maret jakarta aja beli kapok not recommended seller,1
dikrm eksp toko gak tanggung,1
beli nge packnya g kenceng sobek cecer jalan beli rusak yg sobek isi tumpah mana yg pack sampe k dah tinggal n driver yg bawa jg g ati bawa klw nge packnya kuat g jadi beli g,1
moon maaf ya gan paket sy buka bungkus buka siletcutter krn sobek rapih ujung ujung bungkus posisi balik buka beranta isi pesan kg bungkus yg rusak kg bungkus pesan kali jadi tp jadi yg yg parah maaf toleransi krn lewat kasih bintang selesai transaksi yg skrng mohon maaf kasih bintang baik,1
barang terima cacatseperti yg nyobeklain kali packingnya kresek doankitu jga cma lapis,1
barang oke harga jg jangkau packingnya rapi bgt jempol sellernya,2
harga ok kirim cepat packing aman,2
barang sesuai deskripsi cepat,2
barang bagus packing rapi sesuai,2
kirim cepat packing aman respon jual harga oke lg promo terima kasih,2
barang terima,2
kemas ok aman bgt isi produk nyaman pakai,2
sesuai pesan,2
sesuai pesann barang cepet sesuai pilih kirim,2
transaksi cod gampang kirim cepat sampe packingnya rapih smoga produk cocok nih,2
barang dipacking aman dpt hrga promo lg thanks seller,2
mantab murah kualitas,2
sdh terima dg baiktdk yg bocor kirim cepat,2
produk asli murah kirim cepat abang kurir nya jg bgt jagain bener paket smp masukin tas biar ga basah kena hujandiantr malem smbl maafduhh murah rejekinya ya,2
packing rapi aman kirim cepat produk sesuai pesan makasih bonus,2
terimakasih paket terima sukses ya,2
respon cepatpacking amanbanyak bonus nyapemesanan yg x nyatrims agan sukses,2
terima lengkap bonus terima kasih seller,2
paket cepat packing aman dapet bonus hair masker wangi enak banget thank you loreal,2
repurchase puas barang respon seller nya udah gitu bonus terima kasih,2
bukti tumbuh rambutbeli yg kali,2
foto beli serum pakai dingin panas,2
paket super cepat barang ori officialshop gitu lho kalo hasil pesan,2
barang sesuai deskripsisemoga hasil byee bye rambut rontok respon bagus dr reseller good,2
terima kasih paket sdh terima terima kasih voucer,2
packing bagus puass,2
respond cepat packing aman barang sesuai deskripsi recommended,2
barang terima bocortumpah diwrapping bubble aman,2
bagus rambut lembut,2
jual cepat tanggap barang cepat sampai terima kasih,2
barang sesuai gambar originalpenjual responsifbarang cepat,2
bagus sesuai ekspektasi,2
respond cepat packaging rapih moga efek cepat manfaat rambut,2
mantap barang,2
udah x order produk recommended seller,2
respon kirim cepat produk ori expired moga hasil atas rambut rontok tipis awet pakai,2
barang original mantapp,2
produk asli original suplemen bagus efek samping moga proses utk tambah pigmen rambut tks,2
hasil pakai bulan rambut halus tebal hitam rontok berkuranguntuk uban hasilnyalanjut order botol,2
mantabsss barang ori rambut subur warna hitam nya,2
layan lambat beli tgl tgl trace gagal pickup lg maintenance tp ga bilang langgan kecewa,4
barang sampe kardus rusak gin mas yg bawa pas terima kardus nya uda gin kecewa uda barang terima bgini nya paas buka sanitizernya basah smua tumpah seger kayak buka gitu,4
yg kirim botol tdk sesuai photo produk,4
kirim nya minggu kecewa,4
keluar baru butir warna biru dalam gel hand sanitizernya kecewa manfaat keluar baru tarik butir warna biru foto produk butir biru kecewa banget mesan takut yg aja barang sedih,4
verifikasi nya gak pc bts udah co jam pas,4
kirim kemas bagus,4
sayang layan buruk barang sdh minggu lbh status tunggu kurir pick up bungkus jg tdk layak balut wanita bungkus plastik transparan box kecewa,4
udah kali kali dibilangin kalo yg packing seller tim tokopedia event bts photocard jujur kecewa aja sih pas dateng paket udah chat mas mas kurir bilang kalo emang ngambil aja udah rusak kondisi bener bener kayak kardus potong kardus yg disatuin rekat ga dapet pc jimin bayar jam verifikasi jam segitu sedih kecewa jujur,4
kecewa kelas pg packingnya kayak gin lapis plastik bening udah tau balut wanita sifat privasi kirim,4
kirim banget sen dr tgl tgl blm kirim jd sy aju komplain toped abis barang kirim sempet kecewa sih sy pesan official storenya gitu tp service spt,4
produk hasil kecewa,4
zooonk produk tdk dlm paket yg sy order kecewa sm toko,4
isi penuh wangi nya segel pakai solatip ada,4
tutupnyawalaupun beli harga murah tp gabisa bawa mana karna barang rusak,4
kecewa beli pcs ksh yg exp bln,4
kecewa banget,4
nyesel mati beli ni produk beli gara liat ulas positif sumpah krim bau ga enak banget kalo gambar bau padu muntah bayi minyak nyong om iya parah yg kasi ulas idungnya mati ato gmn ya kirim sih cepat bagus but sorry the product is a nightmare very pricey tau gin gw ttp beli wak doyok yg wangi lbh enak lbh murah this cream is really not recommended,4
puas layan barang kirim pesan,4
salah informasi dr jual krn tdnya tuker gel yg cair tukar order tp krn tidak gantung toko cabang putus jual aja beli,4
kecewa produk partikel hitam dalam bersih tangan bersih kotor beli,4
ang kota tangerang kirim lengkap ud gt barang yg ny rusak kecewa barang video unboxing jg,4
kecewa kualitas botol x semprot langsung copot paksa pindah isi botol ecer sayang wangi enak,4
maaf kecewa guna farhampton beli tester rb isi tester farhampton jatuh cinta langsung beli yg ml pas tahan projectionnya kalah tester wangi tenyata jatuh cinta tester wangi ok,4
sedih bgt bom bln waxingnya udah rusak gabisa dipake lg dipake x dr dtg tutup penyok ga kedap udara jd pinggir tutup rada basah trus bln disimpen suhu ruang trus tutup rapet tp pas dipake lg tau udah semut pas coba pake spatula tekstur jg madu jd rada cair gamau lengket lg kalo cair buang atas aja mah ampe tekstur kayak madu buang sedih bgt lg sayang bgt,4
kecewa si packing nya ga bagus ga kasih bubble wrap tulis note mesan,4
kirim kirim status kirim adminnya balas template kecewa belanja official store,4
service kecewa,4
service kecewa kirim,4
service kecewa kecewa kasi bintang,4
kecewa barang selesai tolong lacak,4
barang sdh smp udah gitu kurir ngacobarang blm terima direport udh terima trs gak dpt pc blackpink nya bkn nya klo tulis bebas ongkir ekstra hrsnya dpt pc blackpink krn yg sblmnya sy belanja store yg tulis bebas ongkir ekstra dpt pc blackpink lupa atw bgmn jujur kecewa,4
maaf nih wangi kaya body lotion citra wangi body lotion emang sih harga murah tetep ga worthed,4
aroma ngaka kecewa,4
kecewa banget bau ga nyoba temen alkohol nyesel banget beli hadeh asli nyesel banget ajar aja,4
ngeliat review nya bintang banyak bilang semprot rusak bener bagi semprot rusak mohon kahf produk kirim kece produk nya semprot kecewa produk,4
maaf ya produk yg kasih bintang semprot sprayer nya langsung tdk bs dipake coba baik ya ttp tdk nya kahf ganti supplier botol deh,4
kecewa wangi aja wangi ga tahan jam boro jam sprti iklan bagus bibit parfum pinggir jalan deh,4
kecewa udah beli gaada wangiwanginya cuman bau alcohol aja,4
beli kecewa pas beli kali suka banget parfum order wangi gak konsisten beda yg kemas jga liat kayak luntur gitu tulis pas pegang cat botol parfum luntur tangan,4
official banget,0
pake rutin g hasil payah,0
edny bulan pantes jual rb,0
parah banget sih responnya komplain barang suruh via wa wa suruh marketplace ampun dah jelek layan kelas official unilever,0
dimarahin emak barang,0
buruk yg blg exp nya kelas unilever suruh refund barang udh sampe ongkir nya ganti ganti yg buang nunggu paket packingnya anter nya g kerja ya moga unilever yg sadar salah nya lalai tolong susah beli beli gratis,0
kirim,0
barang broken proses lamaaa tanggal april beli broken tgl apr tgl april produk uang buruk layan,0
kayak layan,0
ekspedisi antaraja payah,0
packaging buruk gan penyok isolasi buka habis bongkar,0
lamaaaaaa bngt kirim,0
packing beranta yg bocir tumpah,0
bocor,0
brg tdk terima nyasar mana kurir bloon,0
barang sampai,0
salah alamat kirim chat dicancel utk pesan tsb krn sy salah masukin alamat menit langsung pesan ulang alamat yg baca chatnya langsung proses dua dasar gak becus ifillll gak pesan toko,0
pake rutin g hasil payah,0
hadiah minum lipat qoq tulis sedia hadiah tampil nama bohong harga sesuai hadiah,0
sen tanggal barang sampe tanggal jakarta dichat udah kirim tanggal pas tracking tanggal aja tulis reschedule pickup parcel ready dipick up adidas official layan gin hadeh,0
lucu proses toko cabang ujung nya kirim ganti alamat terima repot toko cancel beli bikin ribet,0
produk batal alas sesuai toko cabang buka jam order laku jam batal menit bayar toko bilang barang proses barang ambil kurir toko cabang jam toko percaya laku muak,0
jual barang gak terima aju kembali dana hr notif sdh selesai dana terus jual woi balik dana,0
selesai masalah berbelitzaman online ya,0
pas ky bau tape basi ga ky yg pesan kynya rusak,0
wax bau gula merah versi encer manis bikin lengket badan dna kering bfungsi sesuai deskripsi komplain diemin bunag duit aja,0
paan gada ngaruhnya samsek cabut aja kaga,0
orang beli kecoh harga murah kali ya produk ga ga fungsi waxing harga murah krn mmg produk murah,0
kualitas barang banding harga nya so so lahhpelayanan minus sbgmn layak sombong raja kirim barang enak jidat produsen consumer goods tata surya no wonder nilai valuasi usaha turun moga jeblok gulung tikar kmdn pulang kampung moga,0
beli pepsodent paket pcs yg kirim complain video unboxing gue tau isi karna gue buka paket wey kalo gue tau isi paket udah gue video,0
ah ga ngaruh bikin iritasi gatal gatal merah,0
belanja hr seller ramah trakhir kali blanja not recomment,0
wangi nya kyk parfum refill mirah,0
beli buah kirim enak ngomong kembali dana be careful toko sengaja,0
bau gak enak rancang suruh ajar coba parfum yg enak,0
kak pesan batal uang kembali,0
kirim dicancel tp maksa ttp ngirim,0
harga rb barang pcs tp alas trlalu byk ga ganti toko ajar,0
toko ajar kasih barang alas,0
jual angkuh nama beli raja layan mesti puas beli prioritas utama loh angkuh sombong makan tuh duet haram gue belanja olshop loh cuih,0
wangi sengat lengket tang kirim cepat aman packing tebal pakai dus buble wrap langgan beli produk recommended seller,3
packingnya rapi banget wrapnya tebal produk original kasih bonus air diffuser thank you,3
udah botol refill beli biar dpt botol yg sticker dermatologically tested nya,3
mantap cium aroma ubah,3
safely landed on the next day expired balut lamaa thank you so much,3
suka dr soaprepeat order beli,3
udah kali restock dr soap aja pdhl luar handsanitizer yg yg trpercaya dr soap deh,3
hand sanitizernya oke banget wangi enak bikin tangan halus abis pakai moga pas kulit sensitif ga bikin sakit,3
recommended seller barang udah packing rapih barang sesuai deskripsi thanks ya,3
cepatt nya ga ahlakkk fast respon barang besttt moga cocokkk,3
kirim cepet bgt bonus pouch packing rapi muas lanjut kak layan baik kalo tingkat terima kasih,3
packingnya rapihh bangetttt aman jalan jabodetabek,3
produk cepaat ama thank youu,3
purchase kali cocok kulit tangan yg sensitif,3
mantap banget barang sesuai deskripsiharga murah emas aman bgtpake dus wrap next time order sukses lapak gan,3
langgan bulan recommended i,3
kirim cepat banget poko the best sukses,3
bagusss ngga kecewa packingnya aman banget kemas bar,3
mantap barangg cepeatt sampai barang bagus jual nyaa fast respons banget packingan oke banget aman tempatt barang kerennn bangettt,3
top markotoooopppp,3
barang aman terima yg neng wangi enak banget,3
sukaaaa banget banget banget bangeeeeettt,3
wangi nya enak banget bener kaya creambath salon,3
cinta bangettt produk rambut jd lembut wangi bangettss always pake shampoo mah exp packingan mantap,3
belanja kali barang ori packing super aman mantap gan,3
pesan kemarin sore uda packing super aman dobel bubble wrapsdus mantapppp edit ulas cobaterima kasih,3
admin cekat barang paking rapi,3
gercep banget adminnya nih top pokok,3
coba moga bagus hasil drpd yg shampoo noni mokeru packing mantull respon seller cepat goodlah,3
suka sabun enak segar apagi pakai olahraga,3
suka body wash,3
beli official store tgl feb eh feb udh siang cepat banget thank you bangettttt cussons dapet harga flass sale jd murah,3
sabun nyaaa pakee mint nya kerasaa bangettt enk sih habis mandi kyk dingin gitu,3
emang suka dg efek nyesss adem pakai sabun sdg promo beli brg bungkus rapi dg bubble wrap aman terima,3
fast resp seller kirim cepat packaging rapihhh aman barang lengkap sesuai thankss a lott,3
neng banget dapet best deal beli gratis gin produk original emas cepat aman krn packaging plastik tambah extra protection pake bubble wrap tebel kasih bonus susu dus kasih temen baby hehe overall thanks a lot seller,3
dabest pokokmya kirim lampung proses jg gercep banget puas teruuuus ngga kecewa sm original source mantap,3
co jam udah dipacking kirim super cepet produk aman ga tumpahini sabun oke banget nyembuhin jerawat badan plisss discontinue yaaaaa mintnya seger bgtttt,3
suka banget original source mint,3
pokok suka bgt ama sabun,3
delivery twinpack yg didelivery komplain kompensasi the first and the last belanja official store kek gitu,1
beli twinpack yg kirim cm mohon tanggung nya ka bayar harga twinpack,1
expiry date nya jual sayang ga ambil video unboxing nya yaa ga nyangka aja gitu judul toko official store check barcode ga ga item beda dg produk yg beli bareng,1
banget sampai ga rekomen beli minggu sampai,1
order tgl nov tgl dec order official store itu kemarin follow up ekspedisi status toped tunggu pick up paket dipacking aman lembar plastik basah kena hujan kapok ga berani belanja disinimelulu dichat jual balas sistem info tunggu pick up,1
nyesel mati beli ni produk beli gara liat ulas positif sumpah krim bau ga enak banget kalo gambar bau padu muntah bayi minyak nyong om iya parah yg kasi ulas idungnya mati ato gmn ya kirim sih cepat bagus but sorry the product is a nightmare very pricey tau gin gw ttp beli wak doyok yg wangi lbh enak lbh murah this cream is really not recommended,1
order pcs datang pcs tahu nya bongkar resin masuk kotak kemas yg isi complain tolak krn gaada video unboxing unilever official account percaya,1
